Timestamp,What is your current year of study?,Which school/faculty are you in?,What is your gender?,Where do you currently live?,Do you currently have a part-time job?,"On average, how much money do you receive per month from parents/guardians? (THB)",How much scholarship money do you receive per month? (THB),How much do you earn from part-time work per month? (THB),What is your total monthly income/available money? (THB),"How often do you receive money from parents/guardians?
",Do you have a personal savings or emergency fund for unexpected expenses?,"Do you have any other regular financial obligations or responsibilities (e.g., sending money to family or supporting dependents)?","Do you have any monthly debt or loan repayments (e.g., student loans, personal loans, credit card payments)?","Do you have any monthly debt or loan repayments (e.g., student loans, personal loans, credit card payments)?",Approximately how much do you save per month? (Enter amount in THB and enter 0 if not applicable.),Approximately how much do you pay toward debt or loan repayments per month? (Enter amount in THB and enter 0 if not applicable.),How much do you spend on accommodation/rent per month? (THB),How much do you spend on food and drinks per month? (THB),How much do you spend on transportation per month? (THB),How much do you spend on study-related expenses per month? (THB),How much do you spend on other expenses per month? (THB),What is your total monthly spending? (THB),How often do you track your spending?,Do you usually set a monthly budget?,"In the past month, did you face any unexpected/emergency expense?","If yes, about how much was the emergency expense? (THB)",Did you run out of money before the end of the month?,"If yes, how many days before month-end did your money become insufficient?"
3/19/2026 19:35:39,2nd year,School of Applied Digital Technology,Female,On-campus dormitory,No,4000-4500,-,-,4500,Irregular / When needed,No,No,No,No,300,0,1000,3000,500,500,1000,5000,Occasionally,Yes,Yes,1000,Yes,5 days
3/19/2026 19:53:14,2nd year,School of Cosmetic Science,Prefer not to say,With family/relatives,No,20,20,20,20,Every two weeks,No,Yes,Yes,No,20,20,20,20,20,20,20,20,Occasionally,No,No,20,No,20
3/19/2026 19:58:43,2nd year,School of Applied Digital Technology,Female,Off-campus housing,No,5000,0,0,5000,Monthly,Yes,No,No,No,1000,0,1500,2000,200,0,2000,5000,Occasionally,No,No,,Yes,10days
3/19/2026 20:02:28,2nd year,School of Applied Digital Technology,Female,On-campus dormitory,No,5000 THB,-,-,-,Irregular / When needed,No,No,No,No,,,1000 THB,4000 THB,1000 THB,500 THB,2000 THB,4000 THB,Daily,Yes,No,,No,
3/19/2026 20:02:30,3rd year,School of Liberal Arts,Female,Off-campus housing,Yes,4000,0,6000-10000 ,10000- 15000,Irregular / When needed,Yes,No,No,No,1000-2000,0,3000,5000,1000,1000,3000,13000,Occasionally,No,No,0,Yes,5
3/19/2026 20:07:20,2nd year,School of Applied Digital Technology,Female,Off-campus housing,No,10000,0,0,0,Monthly,No,No,No,No,500,500,3000,4000,1000,1000,1000,10000,Occasionally,Yes,No,0,No,-
3/19/2026 20:09:16,2nd year,School of Applied Digital Technology,Female,Off-campus housing,No,10000,0,0,10000,Monthly,No,No,No,No,1500,0,2500,5000,700,500-1500,3000,9000,Occasionally,Yes,No,,No,
3/19/2026 20:09:34,1st year,School of Applied Digital Technology,Female,On-campus dormitory,No,6000,0,0,6000,Monthly,Yes,No,No,No,1500,0,1000,4500,500,500,1000,5000,Daily,Yes,Yes,2000,No,5
3/19/2026 20:20:09,2nd year,School of Agro-Industry,Female,Off-campus housing,No,12000-15000,0,0,0,Monthly,No,Yes,No,No,0,0,3000,3000,800-1500,500,0,18000,Daily,Yes,Yes,5000,Yes,10
3/19/2026 20:23:31,2nd year,School of Management,Female,Off-campus housing,No,"15,000",No,No,"15,000",Monthly,Yes,No,No,No,"2,000",0,"4,600",6000,0,400,2000,13000,Occasionally,Yes,Yes,2000,No,No
3/19/2026 20:35:56,2nd year,School of Applied Digital Technology,Male,Off-campus housing,No,6000,0,0,6000,,No,No,No,No,1000,0,2000,3000,500,500,500,5000-6000,Occasionally,Yes,No,0,Yes,10
3/19/2026 20:37:39,2nd year,School of Applied Digital Technology,Male,Off-campus housing,No,"10,000 B",0,0,"10,000 B",Monthly,Yes,No,No,No,0,0,"2,500 B","over 5,000 B","2,000B",0,"2,000B","10,000 B",Occasionally,Yes,No,0,Yes,0
3/19/2026 20:40:10,3rd year,School of Applied Digital Technology,Female,Off-campus housing,No,5000,0,0,0,Monthly,Yes,No,No,No,0,0,2500,2000,300,100,100,5000,Daily,Yes,Yes,1700,Yes,10 days
3/19/2026 21:32:23,2nd year,School of Applied Digital Technology,Female,Off-campus housing,No,8500,-,-,-,Monthly,Yes,No,No,Yes,500,500,3000,5000,500,1000,1500,7000,Occasionally,Yes,No,,Yes,4 or 5 days
3/19/2026 21:41:16,2nd year,School of Liberal Arts,Female,Off-campus housing,No,6000,None,None,6000,Monthly,No,No,No,No,500,0,3000,2000,300,300,500,3000,Occasionally,No,No,None,Yes,Yes usually towards the end of the month 
3/20/2026 0:28:28,3rd year,School of Liberal Arts,Female,On-campus dormitory,No,5000-6000 THB,I don’t apply for the scholarship.,I don’t have part-time job.,0,Irregular / When needed,No,No,No,No,0,0,1000,4000,200,200,1500,Around 6000,Daily,Yes,No,,Yes,5 or 4days 
3/20/2026 1:11:29,3rd year,School of Liberal Arts,Male,Off-campus housing,No,8000,0,0,8000,Weekly,Yes,No,No,No,1000,0,4400,4200,1500,0,800,15000,Occasionally,No,No,0,No,
3/20/2026 2:41:30,2nd year,School of Applied Digital Technology,Male,Off-campus housing,No,10k,0,0,10k,Every two weeks,No,No,Yes,Yes,0,300,2.6k,7k,600,0,1.5k,10k,Weekly,Yes,No,,Yes,A week
3/20/2026 11:57:35,2nd year,School of Management,Male,Off-campus housing,No,120k,None,None,None,Monthly,No,No,No,No,None,None,4.3k,8k,500,1k,6k,12k,Never,No,No,,Yes,They transferred before run out
3/20/2026 12:07:18,2nd year,School of Management,Male,On-campus dormitory,Yes,5000,5000,360,10360,Monthly,Yes,No,No,No,3000,0,2500,6000,1500,7000,3000,20000,Occasionally,Yes,No,2000,No,.
3/20/2026 13:10:33,2nd year,School of Management,Male,On-campus dormitory,No,5000,-,-,5000,Irregular / When needed,No,No,No,No,0,0,1500,3500,500,-,-,~5000-6000,Daily,Yes,No,0,Yes,5 days 
3/20/2026 13:17:58,2nd year,School of Liberal Arts,Female,With family/relatives,No,4000B,0B,I don't have a part-time job,4000B,Weekly,Yes,No,No,No,0,0,0,about 2500B,0,about 200B,about 1000B,3500-4000B,Weekly,Yes,No,,No,
3/20/2026 13:47:42,3rd year,School of Applied Digital Technology,Female,Off-campus housing,No,5500,0,0,5500,Monthly,No,No,No,No,0,0,2150,4000,400,0,300,6850,Never,No,Yes,1300,Yes,10
3/20/2026 13:53:23,3rd year,School of Social Innovation,Female,On-campus dormitory,No,"4,000",-,-,"4,000",Monthly,Yes,No,No,No,0,0,"5,000 / per semester ","3,000",400,0,200,"4,000",Occasionally,Yes,No,,Yes,2-3 day
3/20/2026 14:41:19,1st year,School of Applied Digital Technology,Female,On-campus dormitory,No,6000,-,-,6000,Monthly,Yes,No,No,,1000-1500,0,1000,2000-3000,200-400,50-100,500-1000,4000-5000,Daily,Yes,No,,No,
3/20/2026 14:42:37,3rd year,School of Liberal Arts,Female,Off-campus housing,No,14500,-,-,14500,Monthly,Yes,No,Yes,,1000,1500,3800,5000,200,100,4000,14500,Weekly,Yes,Yes,1000,Yes,1 week
3/20/2026 14:44:23,3rd year,School of Liberal Arts,Female,Off-campus housing,Yes,4800,0,18000 (only semester break),4800,Weekly,Yes,No,Yes,,1000,1000,3000,3000,200,0,0,7000,Daily,No,No,-,No,-
3/20/2026 14:47:44,3rd year,School of Liberal Arts,Female,Off-campus housing,No,13000,-,-,13000,Weekly,Yes,No,No,,200,0,2400,600,400,100,100,3600,Occasionally,Yes,Yes,1000,Yes,3 days
3/20/2026 14:50:44,2nd year,School of Applied Digital Technology,Male,Off-campus housing,Yes,1500,0,4-5000,6000,Monthly,No,No,Yes,,0,1000,2500,3000,600,0,0,0,Weekly,Yes,Yes,7000,Yes,10
3/20/2026 15:02:37,2nd year,School of Applied Digital Technology,Male,Off-campus housing,Yes,4000,0,3000,3000,Irregular / When needed,Yes,No,No,,0,0,1800,2000,1000,800,1500,,Occasionally,Yes,No,,Yes,7
3/20/2026 15:04:42,3rd year,School of Cosmetic Science,Female,With family/relatives,No,"5,000",-,"Depends on jobs I attend as I do freelance job around 5,000-10,000","5,000-15,000",Monthly,Yes,No,Yes,,"2,000",0,-,"3,000",0,200,"1,000","4,000",Occasionally,No,No,,Yes,7
3/20/2026 15:07:59,3rd year,School of Cosmetic Science,Female,On-campus dormitory,No,"10,000",-,-,"10,000",Weekly,Yes,Yes,No,,"2,000",0,"1,000","5,600",300,200,"1,000","8,000",Weekly,Yes,No,,Yes,1
3/20/2026 15:08:07,1st year,School of Social Innovation,Female,On-campus dormitory,No,4000,3000,-,,,Yes,No,No,,0,0,1000,4000,100,0,0,,Occasionally,Yes,No,,No,
3/20/2026 15:09:30,2nd year,School of Applied Digital Technology,Male,Off-campus housing,No,8000,0,0,0,Monthly,No,No,No,,0,0,4500,3500,500,500,0,8000,Daily,No,No,no,No,0
3/20/2026 15:11:20,2nd year,School of Management,Female,Off-campus housing,No,10000,-,-,-,Weekly,No,No,No,,,,4500,Idk,Idk,Idk,Idk,100000,Never,No,No,,No,
3/20/2026 15:13:00,2nd year,School of Applied Digital Technology,Female,On-campus dormitory,No,6500,None,None,None,Monthly,No,No,Yes,,0,0,7000,3000+,None,None,-,7000+,Occasionally,No,No,-,Yes,5 days
3/20/2026 15:15:07,2nd year,School of Applied Digital Technology,Female,Off-campus housing,No,4000,0,0,,Monthly,No,No,No,,0,,2000,2000,500,0,500,,Occasionally,No,No,,Yes,
3/20/2026 15:15:43,3rd year,School of Health Science,Male,Off-campus housing,Yes,0,0,2000,3000,Not applicable,No,Yes,Yes,,500,0,2000,3000,1000,200,1000,8000,Never,No,Yes,3000,Yes,10
3/20/2026 15:19:21,3rd year,School of Health Science,Female,On-campus dormitory,Yes,2000,6000,360,6000,Irregular / When needed,Yes,No,No,,500,0,1500,4000,100,200,300,5500,Weekly,Yes,Yes,1400,No,
3/20/2026 15:23:50,2nd year,School of Management,Male,On-campus dormitory,Yes,"6,000 THB",-,600,-,Monthly,No,No,No,,0,0,"1,200 THB","4,500 THB",200 THB,"1,000 THB","1,500 THB","6,000 THB",Occasionally,Yes,Yes,500 THB,Yes,10 days before end month
3/20/2026 15:40:27,3rd year,School of Health Science,Female,Off-campus housing,No,9000,1000,-,10000,Monthly,No,No,No,,0,0,3000,4000,160,0,2500,10000,Occasionally,Yes,No,,No,
3/20/2026 15:40:41,3rd year,School of Applied Digital Technology,Male,Off-campus housing,Yes,6000 THB,-,360 THB,6360  THB,Monthly,,No,No,,0,0,1500 THB,2500 THB,1000 THB,-,-,6360 THB,Weekly,No,No,-,No,-
3/20/2026 17:28:24,3rd year,School of Management,Female,On-campus dormitory,No,4000 baht,I don’t have any scholarships,-,4000,Monthly,Yes,Yes,No,,500,0,5500,1300,500,500,2000,4500-5500,Daily,Yes,Yes,1000,Yes,Maybe middle of the month 
